Year,WkNo,Cases,avg_rainfall,tot_rainfall,max_30m_rainfall,max_60m_rainfall,max_120m_rainfall,avg_temp,max_temp,min_temp,avg_wind,max_wind,log_cases,log_avg_rainfall,log_tot_rainfall,log_max_30m_rainfall,log_max_60m_rainfall,log_max_120m_rainfall,log_avg_mean_temp,log_max_temp,log_min_temp,log_avg_wind,log_max_wind,z_cases,z_avg_rainfall,z_tot_rainfall,z_avg_temp,z_max_temp,z_min_temp,z_avg_wind,z_max_wind,mm_cases,mm_avg_rainfall,mm_tot_rainfall,mm_avg_temp,mm_max_temp,mm_min_temp,mm_avg_wind,mm_max_wind
2013,31,289,4.658730159,32.61111111,NA,NA,NA,28.00756303,34.2,22,7.863492063,76,5.669880923,1.733199513,3.5148567,NA,NA,NA,3.36755659,3.561046083,3.135494216,2.181940825,4.343805422,-0.009455903,-0.298953161,-0.299945936,-0.079351225,-0.446980345,-0.194024626,-0.277447926,0.572924793,0.149886878,0.168667498,0.168667498,0.623676548,0.492307692,0.887096774,0.25749377,0.393998064
2013,32,256,10.65555556,74.58888889,NA,NA,NA,27.49663866,33,21.6,7.785714286,82.1,5.549076085,2.455782938,4.3253093,NA,NA,NA,3.349786138,3.526360525,3.117949906,2.173127026,4.420044702,-0.125841789,1.062270663,1.054732214,-0.690101494,-1.80087316,-0.382402715,-0.322005478,0.946042903,0.131221719,0.385780209,0.385780209,0.531286215,0.307692308,0.870967742,0.249223071,0.453049371
2013,33,378,4.026984127,28.18888889,NA,NA,NA,27.75630252,33.7,21.2,7.295238095,64.1,5.937536205,1.614820227,3.373788119,NA,NA,NA,3.358856961,3.546739687,3.100092289,2.115681627,4.175924549,0.304433304,-0.44235366,-0.442656869,-0.379703742,-1.011102351,-0.570780804,-0.602990858,-0.154961356,0.200226244,0.145795381,0.145795381,0.57824117,0.415384615,0.85483871,0.197067029,0.278799613
2013,34,341,1.142063492,7.994444444,NA,NA,NA,28.51680672,34.2,23.1,8.270634921,52.9,5.834810737,0.761769613,2.196607103,NA,NA,NA,3.384959821,3.561046083,3.18221184,2.226851869,3.987130478,0.173940038,-1.097203925,-1.094358176,0.529389998,-0.446980345,0.324015118,-0.044202781,-0.840030673,0.179298643,0.041347961,0.041347961,0.715762965,0.492307692,0.931451613,0.300788348,0.170377541
2013,35,386,3.499206349,24.49444444,NA,NA,NA,27.95210084,34.3,20,7.628571429,59,5.958424693,1.503901014,3.238460564,NA,NA,NA,3.365642769,3.563882964,3.044522438,2.155078956,4.094344562,0.332648065,-0.562154327,-0.561881455,-0.145649774,-0.334155944,-1.13591507,-0.41202992,-0.466912563,0.204751131,0.126687393,0.126687393,0.613647334,0.507692308,0.806451613,0.232512883,0.229428848
2013,36,455,19.02857143,133.2,NA,NA,NA,26.46890756,33.4,21.6,6.418253968,76.7,6.12249281,2.997159826,4.899331225,NA,NA,NA,3.313054731,3.538056564,3.117949906,2.003943715,4.352855257,0.576000372,2.962867719,2.946189928,-1.918633697,-1.349575555,-0.382402715,-1.105399991,0.615741625,0.243778281,0.688921965,0.688921965,0.345441845,0.369230769,0.870967742,0.103810677,0.400774443
2013,37,280,8.522222222,59.65555556,NA,NA,NA,27.28739496,33,22.3,7.418253968,57.6,5.638354669,2.253628248,4.105211231,NA,NA,NA,3.342416298,3.526360525,3.148453361,2.13040244,4.070734697,-0.041197509,0.578023755,0.572813888,-0.940227838,-1.80087316,-0.052741059,-0.532517179,-0.552546228,0.14479638,0.308543713,0.308543713,0.493448727,0.307692308,0.899193548,0.210148237,0.215876089
2013,38,376,1.069047619,7.483333333,NA,NA,NA,28.59579832,34.4,22.8,7.972222222,45,5.932245187,0.727088414,2.138103454,NA,NA,NA,3.387632403,3.56671182,3.169685581,2.194133385,3.828641396,0.297379614,-1.113777852,-1.110852405,0.623815204,-0.221331542,0.182731552,-0.215158287,-1.323249209,0.199095023,0.03870445,0.03870445,0.730046997,0.523076923,0.919354839,0.269055869,0.093901258
2013,39,406,11.92063492,83.44444444,NA,NA,NA,28.10588235,35,21.8,7.115079365,65.5,6.008813185,2.55882564,4.436093856,NA,NA,NA,3.370940296,3.583518938,3.126760536,2.093723981,4.197201948,0.403184965,1.349431963,1.34051265,0.038178021,0.455614865,-0.28821367,-0.706200698,-0.069327692,0.216063348,0.431581911,0.431581911,0.641455609,0.615384615,0.879032258,0.17790939,0.292352372
2013,40,441,5.023015873,35.16111111,NA,NA,NA,27.91260504,34.1,21.5,7.546825397,77.8,6.091309882,1.795588109,3.587984263,NA,NA,NA,3.364277661,3.55820113,3.113515309,2.145559915,4.366912997,0.526624541,-0.216263678,-0.217654079,-0.192862377,-0.559804746,-0.429497237,-0.458860817,0.683025219,0.235859729,0.181856319,0.181856319,0.606505318,0.476923077,0.866935484,0.223820209,0.41142304
2013,41,438,8.28015873,57.96111111,NA,NA,NA,28.04201681,34.9,22.1,6.937301587,69.8,6.084499413,2.227878651,4.076878093,NA,NA,NA,3.368743637,3.580737295,3.139832618,2.071573367,4.259859001,0.516044006,0.523077584,0.518131935,-0.038165762,0.342790464,-0.146930104,-0.808046531,0.193689992,0.234162896,0.299779899,0.299779899,0.629906817,0.6,0.891129032,0.159004935,0.333978703
2013,42,374,12.79719888,89.58039216,NA,NA,NA,28.00405462,35,20.9,7.267460317,61.2,5.926926026,2.624465592,4.506237768,NA,NA,NA,3.367435635,3.583518938,3.086486637,2.112327366,4.130355,0.290325924,1.548403863,1.53852776,-0.08354511,0.455614865,-0.71206437,-0.618904269,-0.332345376,0.197963801,0.463317566,0.463317566,0.623042124,0.615384615,0.842741935,0.194113208,0.250726041
2013,43,495,5.554621849,38.88235294,NA,NA,NA,27.52232143,34,22,6.778151261,55.4,6.206575927,1.880170427,3.685933944,NA,NA,NA,3.350686989,3.555348061,3.135494216,2.051318683,4.032469159,0.717074173,-0.095594045,-0.097564707,-0.659400745,-0.672629147,-0.194024626,-0.899221018,-0.687113415,0.266402715,0.201102905,0.201102905,0.535930425,0.461538462,0.887096774,0.142081277,0.194578896
2013,44,458,10.53277311,73.72941176,NA,NA,NA,27.06696429,34,22,5.442016807,56.5,6.12905021,2.445192818,4.313873746,NA,NA,NA,3.334593237,3.555348061,3.135494216,1.86284166,4.051784948,0.586580907,1.034400185,1.026995756,-1.2037269,-0.672629147,-0.194024626,-1.664669482,-0.619829821,0.245475113,0.381334919,0.381334919,0.453588301,0.461538462,0.887096774,0,0.205227493
2013,45,402,13.54201681,94.79411765,NA,NA,NA,27.39375,34.3,21.9,6.24789916,60.1,5.998936562,2.67704217,4.562201281,NA,NA,NA,3.346169051,3.563882964,3.131136911,1.980711656,4.112511866,0.389077585,1.717470634,1.706781545,-0.813092836,-0.334155944,-0.241119148,-1.202993333,-0.399628969,0.213800905,0.490283407,0.490283407,0.512680884,0.507692308,0.883064516,0.085695563,0.240077444
2013,46,444,13.19243697,92.34705882,NA,NA,NA,26.78392857,34.8,21.9,5.857142857,85.3,6.098074282,2.652709215,4.536324363,NA,NA,NA,3.324457745,3.577947893,3.131136911,1.925290862,4.457829598,0.537205076,1.63811925,1.627811735,-1.542062961,0.229966063,-0.241119148,-1.426850903,1.141776994,0.237556561,0.477627006,0.477627006,0.40240702,0.584615385,0.883064516,0.044143491,0.484027106
2013,47,368,8.68487395,60.79411765,NA,NA,NA,27.52767857,34,22,6.720168067,61.9,5.910796644,2.270565282,4.123808176,NA,NA,NA,3.350874794,3.555348061,3.135494216,2.043836134,4.141546164,0.269164854,0.614944191,0.609556786,-0.652996908,-0.672629147,-0.194024626,-0.932438593,-0.289528544,0.194570136,0.314432455,0.314432455,0.536899156,0.461538462,0.887096774,0.135915486,0.25750242
2013,48,372,13.61260504,95.28823529,NA,NA,NA,27.08482143,34.7,22.3,6.186554622,51.5,5.92157842,2.681884515,4.567346144,NA,NA,NA,3.335229268,3.575150689,3.148453361,1.972211867,3.96081317,0.283272234,1.73349351,1.722727372,-1.182380777,0.117141662,-0.052741059,-1.238136564,-0.925664338,0.196832579,0.492839026,0.492839026,0.456817404,0.569230769,0.899193548,0.079172334,0.156824782
2013,49,347,16.20336134,113.4235294,NA,NA,NA,25.74464286,33,22,6.850420168,73.4,5.85220248,2.845104792,4.739906734,NA,NA,NA,3.286334186,3.526360525,3.135494216,2.060567055,4.309455942,0.195101108,2.321571196,2.307977187,-2.784407362,-1.80087316,-0.194024626,-0.857819403,0.413890844,0.182692308,0.586636342,0.586636342,0.21447323,0.307692308,0.887096774,0.149766177,0.368828654
2013,50,381,6.314285714,44.2,NA,NA,NA,27.24017857,34.3,21.6,6.820168067,51.8,5.945420609,1.989829383,3.811097087,NA,NA,NA,3.340745736,3.563882964,3.117949906,2.056706046,3.966511191,0.315013839,0.076842617,0.074042764,-0.9966695,-0.334155944,-0.382402715,-0.875150312,-0.907314267,0.201923077,0.228606238,0.228606238,0.484910599,0.507692308,0.870967742,0.146549242,0.159728945
2013,51,371,10.18151261,71.27058824,NA,NA,NA,26.85535714,35,20.9,8.252941176,65.2,5.918893854,2.414261754,4.280417245,NA,NA,NA,3.327025305,3.583518938,3.086486637,2.224941466,4.192680463,0.279745389,0.954667304,0.947646283,-1.456678467,0.455614865,-0.71206437,-0.054339223,-0.087677763,0.196266968,0.36861767,0.36861767,0.415323431,0.615384615,0.842741935,0.298906838,0.289448209
