Station,Year,Month,mean_temp,max_temp,min_temp,mean_wind,max_wind,mean_rain,mean_30m_rain,mean_60m_rain,mean_120m_rain,date
Admiralty,2009,1,26.34285714285714,30.509999999999998,23.99,11.23,36.45,0.025806451612903226,0,0,0,Jan 2009
Admiralty,2009,10,27.95806451612903,32.07741935483871,24.96451612903226,6.461290322580645,36.174193548387095,5.161290322580645,0,0,0,Oct 2009
Admiralty,2009,11,26.953333333333333,31.35333333333333,24.603333333333335,8.066666666666666,37.446666666666665,9.086666666666668,0,0,0,Nov 2009
Admiralty,2009,12,26.716129032258063,30.15483870967742,24.78709677419355,9.296774193548387,34.7,3.2258064516129035,0,0,0,Dec 2009
Admiralty,2009,2,26.767857142857142,31.442857142857143,24.260714285714286,9.564285714285715,35.84285714285714,5.285714285714286,0,0,0,Feb 2009
Admiralty,2009,3,26.913793103448278,32.093333333333334,24.02,7.112903225806452,35.674193548387095,11.225806451612904,0,0,0,Mar 2009
Admiralty,2009,4,28.12,32.196666666666665,25.066666666666666,7.363333333333333,35.086666666666666,4.96,0,0,0,Apr 2009
Admiralty,2009,5,28.483870967741936,32.590322580645164,25.093548387096774,7.451612903225806,36.10322580645161,6.6322580645161295,0,0,0,May 2009
Admiralty,2009,6,28.89666666666667,32.87,25.95,6.37,31.523333333333333,3.066666666666667,0,0,0,Jun 2009
Admiralty,2009,7,28.093548387096774,31.887096774193548,25.151612903225807,6.645161290322581,36.89354838709677,3.3225806451612905,0,0,0,Jul 2009
Admiralty,2009,8,28.129032258064516,31.84193548387097,25.303225806451614,7.016129032258065,35.70645161290322,2.9096774193548387,0,0,0,Aug 2009
Admiralty,2009,9,28.32,31.983333333333334,25.496666666666666,6.43,33.74666666666667,2.2533333333333334,0,0,0,Sep 2009
Admiralty,2010,1,27.04193548387097,31.080645161290324,24.587096774193547,10.338709677419354,37.21612903225807,3.509677419354839,0,0,0,Jan 2010
Admiralty,2010,10,28.170967741935485,31.848387096774193,25.174193548387098,7.129032258064516,35.18709677419355,6.651612903225806,0,0,0,Oct 2010
Admiralty,2010,11,27.09,31.759999999999998,24.41,6.986666666666666,33.70333333333333,12.573333333333334,0,0,0,Nov 2010
Admiralty,2010,12,26.60322580645161,30.738709677419354,24.219354838709677,8.254838709677419,35.229032258064514,4.180645161290323,0,0,0,Dec 2010
Admiralty,2010,2,28.110714285714284,32.660714285714285,25.37857142857143,11.132142857142858,38.385714285714286,3.0142857142857142,0,0,0,Feb 2010
Admiralty,2010,3,27.968,32.766666666666666,25.363333333333333,8.858064516129032,35.935483870967744,9.903225806451612,0,0,0,Mar 2010
Admiralty,2010,4,28.17,33.39333333333333,24.97,7.246666666666666,36.00666666666667,15.753333333333332,0,0,0,Apr 2010
Admiralty,2010,5,28.89677419354839,33.75483870967742,25.851612903225806,6.683870967741935,33.6,5.703225806451613,0,0,0,May 2010
Admiralty,2010,6,28.006666666666668,31.53333333333333,25.23,6.39,34.36666666666667,10.406666666666666,0,0,0,Jun 2010
Admiralty,2010,7,27.52258064516129,31.251612903225805,24.690322580645162,6.351612903225806,34.60322580645161,12.729032258064516,0,0,0,Jul 2010
Admiralty,2010,8,27.696774193548386,31.703225806451613,24.51290322580645,6.432258064516129,36.28709677419355,7.464516129032258,0,0,0,Aug 2010
Admiralty,2010,9,27.696666666666665,31.98,24.906666666666666,6.42,34.21,6,0,0,0,Sep 2010
Admiralty,2011,1,25.770967741935483,28.941935483870967,23.851612903225806,9.703225806451613,36.16129032258065,12.096774193548388,0,0,0,Jan 2011
Admiralty,2011,10,27.096774193548388,31.274193548387096,24.416129032258066,6.906451612903226,32.619354838709675,14.696774193548388,0,0,0,Oct 2011
Admiralty,2011,11,26.83,31.4,24.476666666666667,7.3100000000000005,34.45666666666666,9.62,0,0,0,Nov 2011
Admiralty,2011,12,26.16774193548387,29.60322580645161,24.274193548387096,8.725806451612904,34.438709677419354,11.238709677419354,0,0,0,Dec 2011
Admiralty,2011,2,26.682142857142857,31.375,24.071428571428573,10.575,37.13214285714286,6.5,0,0,0,Feb 2011
Admiralty,2011,3,26.838709677419356,31.174193548387098,24.335483870967742,8.393548387096775,37.651612903225804,5.754838709677419,0,0,0,Mar 2011
Admiralty,2011,4,27.61,32.39666666666667,24.643333333333334,8.476666666666667,34.92,10.506666666666666,0,0,0,Apr 2011
Admiralty,2011,5,28.296774193548387,32.561290322580646,25.60967741935484,6.348387096774194,32.63548387096774,4.935483870967742,0,0,0,May 2011
Admiralty,2011,6,28.02,31.413333333333334,25.346666666666668,6.033333333333333,33.303333333333335,4.286666666666667,0,0,0,Jun 2011
Admiralty,2011,7,28.52258064516129,32.15483870967742,25.616129032258065,7.145161290322581,32.18064516129032,2.0580645161290323,0,0,0,Jul 2011
Admiralty,2011,8,27.748387096774195,31.496774193548386,25.032258064516128,7.183870967741935,35.1,5.548387096774194,0,0,0,Aug 2011
Admiralty,2011,9,27.733333333333334,31.533333333333335,24.6,7.016666666666667,37.623333333333335,7.04,0,0,0,Sep 2011
Admiralty,2012,1,26.5,30.719354838709677,24.087096774193547,10.05483870967742,35.58709677419355,6.354838709677419,0,0,0,Jan 2012
Admiralty,2012,10,27.616129032258065,32.270967741935486,25.103225806451615,6.87741935483871,29.980645161290322,5.103225806451613,0,0,0,Oct 2012
Admiralty,2012,11,26.85,31.846666666666668,24.28,6.373333333333333,34.31,11.953333333333333,0,0,0,Nov 2012
Admiralty,2012,12,26.358064516129033,30.429032258064517,24.206451612903226,7.158064516129032,34.07096774193548,14.703225806451613,0,0,0,Dec 2012
