Year,WkNo,Cases,avg_rainfall,tot_rainfall,max_30m_rainfall,max_60m_rainfall,max_120m_rainfall,avg_temp,max_temp,min_temp,avg_wind,max_wind,log_Cases,log_avg_rainfall,log_tot_rainfall,log_max_30m_rainfall,log_max_60m_rainfall,log_max_120m_rainfall,log_avg_temp,log_max_temp,log_min_temp,log_avg_wind,log_max_wind,z_Cases,z_avg_rainfall,z_tot_rainfall,z_avg_temp,z_max_temp,z_min_temp,z_avg_wind,z_max_wind,mm_Cases,mm_avg_rainfall,mm_tot_rainfall,mm_avg_temp,mm_max_temp,mm_min_temp,mm_avg_wind,mm_max_wind,mm_max_30m_rainfall,mm_max_60m_rainfall,mm_max_120m_rainfall,z_max_30m_rainfall,z_max_60m_rainfall,z_max_120m_rainfall
2014,11,225,4.545238095,31.81666667,24.4,33.2,43,27.88403361,36.3,23,10.61111111,75.2,5.420534999,1.712939559,3.490936516,3.234749174,3.532225644,3.784189634,3.363288972,3.618993327,3.17805383,2.451962494,4.333361463,-0.235173985,-0.324714809,-0.325583704,-0.227016175,1.922332082,0.276920596,1.296615802,0.52399127,0.113687783,0.164558562,0.164558562,0.601338754,0.815384615,0.927419355,0.549668874,0.38625363,0.374233129,0.323586745,0.350162866,-0.584167236,-0.485881513,-0.237051988
2014,12,210,9.571101774,66.99771242,52.8,63.6,71.4,27.01134454,34.7,22.2,7.375163399,57.2,5.351858133,2.35812403,4.219474064,3.985273467,4.168214411,4.282206299,3.33260959,3.575150689,3.144152279,2.125270588,4.063885355,-0.288076661,0.816109699,0.809754956,-1.270213798,0.117141662,-0.099835582,-0.557203025,-0.577012989,0.10520362,0.346517986,0.346517986,0.443530595,0.569230769,0.89516129,0.205566091,0.212003872,0.809815951,0.619883041,0.581433225,1.524203139,1.0599197,0.958361628
2014,13,225,1.384313725,9.690196078,12.8,13.4,16.2,28.39821429,35.3,22.6,8.538655462,45.7,5.420534999,0.868911337,2.369327067,2.624668592,2.667228207,2.844909384,3.380933934,3.591817741,3.161246712,2.255352539,3.843744165,-0.235173985,-1.042215365,-1.039634039,0.387626623,0.794088069,0.088542507,0.109341581,-1.280432377,0.113687783,0.050118535,0.050118535,0.694317923,0.661538462,0.911290323,0.329288998,0.100677638,0.196319018,0.130604288,0.131921824,-1.445332601,-1.492686251,-1.365118358
2014,14,240,5.421691176,37.95183824,44.2,47,47.6,28.32625,35.4,22.8,6.787132353,92.9,5.484796933,1.859681506,3.662325966,3.811097087,3.871201011,3.883623531,3.378483019,3.594568775,3.169685581,2.052472673,4.542230386,-0.18227131,-0.125768077,-0.127593641,0.301601745,0.90691247,0.182731552,-0.894075905,1.606645459,0.122171946,0.196290202,0.196290202,0.681304638,0.676923077,0.919354839,0.143036305,0.557599226,0.67791411,0.458089669,0.38762215,0.885752955,0.21583088,-0.043428656
2014,15,247,4.535154062,31.74607843,28.6,42.6,43.8,27.93823529,35.3,22.4,6.014098973,74.2,5.513428746,1.7111194,3.488783212,3.387774361,3.77505715,3.802208139,3.365163741,3.591817741,3.152736022,1.947922262,4.320151231,-0.157583395,-0.327003791,-0.32786168,-0.162224411,0.794088069,-0.005646537,-1.336933441,0.462824367,0.126131222,0.164193474,0.164193474,0.611140031,0.661538462,0.903225806,0.060833821,0.376573088,0.438650307,0.415204678,0.356677524,-0.272365983,-0.007903506,-0.203378365
2014,16,235,7.700793651,53.90555556,44.6,55.6,68,28.29159664,35.8,22.3,5.788095238,55.4,5.463831805,2.163414246,4.005614537,3.819907717,4.036008985,4.234106505,3.377300671,3.605497845,3.148453361,1.915170378,4.032469159,-0.199905535,0.391567077,0.387253819,0.260177708,1.358210075,-0.052741059,-1.466407097,-0.687113415,0.119343891,0.278804214,0.278804214,0.675038279,0.738461538,0.899193548,0.036801136,0.194578896,0.68404908,0.541910331,0.553745928,0.915448312,0.653129907,0.81524873
2014,17,282,6.728571429,47.1,44,51.2,53.6,28.0907563,35.7,22.7,5.7,118.8,5.645446898,2.044924037,3.873282177,3.80666249,3.955082495,4.000033883,3.370420471,3.602776755,3.165475048,1.902107526,4.785823686,-0.034143819,0.170881637,0.167629582,0.020096599,1.245385674,0.13563703,-1.516875345,3.190868254,0.145927602,0.243605289,0.243605289,0.638720369,0.723076923,0.915322581,0.027433303,0.808325266,0.674846626,0.499025341,0.436482085,0.870905276,0.429395521,0.209123517
2014,18,251,4.477777778,31.34444444,34,37.8,44.6,28.85908613,35,23.7,6.128571429,61.2,5.529429088,1.700699504,3.476442273,3.555348061,3.658420247,3.819907717,3.396489187,3.583518938,3.206803244,1.964110854,4.130355,-0.143476015,-0.340027676,-0.340822937,0.938544963,0.455614865,0.606582252,-1.271354139,-0.332345376,0.128393665,0.162116188,0.162116188,0.77765727,0.615384615,0.955645161,0.073006543,0.250726041,0.521472393,0.368421053,0.363192182,0.128521341,-0.251977382,-0.169704742
2014,19,261,5.579365079,39.05555556,44.6,46,46,28.82605042,35.4,22.7,6.119047619,48.2,5.568344504,1.883938248,3.690267379,3.819907717,3.850147602,3.850147602,3.395382187,3.594568775,3.165475048,1.962773955,3.895893623,-0.108207564,-0.089977561,-0.09197523,0.899054635,0.90691247,0.13563703,-1.276810166,-1.127515119,0.134049774,0.201998724,0.201998724,0.77168343,0.676923077,0.915322581,0.071993804,0.124878993,0.68404908,0.44834308,0.374592834,0.915448312,0.164982156,-0.110775902
2014,20,292,11.68730159,81.81111111,34.2,55.4,66.8,28.37394958,34.6,22.7,6.521428571,62.3,5.680172609,2.540601618,4.416562245,3.561046083,4.032469159,4.216562195,3.380108213,3.572345638,3.165475048,2.01775609,4.147885329,0.001124632,1.296467457,1.287802833,0.358621008,0.00431726,0.13563703,-1.046293034,-0.265061782,0.15158371,0.42313417,0.42313417,0.689930142,0.553846154,0.915322581,0.114782013,0.261374637,0.524539877,0.539961014,0.543973941,0.14336902,0.642960162,0.764738296
2014,21,429,7.2,50.4,35.6,55.8,67.8,28.09327731,35.1,21.6,6.365873016,54,6.063785209,2.104134154,3.939638172,3.60004824,4.039536326,4.231203745,3.370507127,3.586292865,3.117949906,1.996857579,4.007333185,0.484302401,0.277891556,0.274124926,0.023110169,0.568439267,-0.382402715,-1.135408138,-0.77274708,0.229072398,0.260673176,0.260673176,0.639176242,0.630769231,0.870967742,0.098240615,0.181026137,0.54601227,0.543859649,0.552117264,0.247302771,0.663299652,0.806830324
2014,22,456,6.171708683,43.20196078,45.6,52.2,52.8,28.50420168,34.1,22.7,6.676190476,53.3,6.124683391,1.970143936,3.78876915,3.841600541,3.974058396,3.985273467,3.384532683,3.55820113,3.165475048,2.038123392,3.994524227,0.579527217,0.044478951,0.041834725,0.514322146,-0.559804746,0.13563703,-0.957632599,-0.815563912,0.244343891,0.223444292,0.223444292,0.713483598,0.476923077,0.915322581,0.131239016,0.174249758,0.699386503,0.50877193,0.429967427,0.989686706,0.480244245,0.175449894
2014,23,461,6.442857143,45.1,32.2,37,39.6,28.43529412,34.7,23.3,7.218253968,55.8,6.135564891,2.0072548,3.83081295,3.502549876,3.63758616,3.703768067,3.382194435,3.575150689,3.19047635,2.106357774,4.039536326,0.597161442,0.10602714,0.103086949,0.431951221,0.117141662,0.418204163,-0.647093741,-0.662646654,0.247171946,0.233261116,0.233261116,0.70102306,0.569230769,0.939516129,0.188880725,0.198451113,0.493865031,0.360623782,0.32247557,-0.005107767,-0.292656362,-0.380164886
2014,24,506,3.885714286,27.2,22.4,27.4,27.6,29.29028361,36.2,22.5,7.103968254,103.7,6.228511004,1.586315495,3.339321978,3.152736022,3.346389145,3.353406718,3.410826988,3.616308761,3.157000421,2.09235385,4.651099118,0.755869468,-0.474420605,-0.474569615,1.453991069,1.809507681,0.041447985,-0.712566062,2.267248014,0.272624434,0.140680762,0.140680762,0.855630608,0.8,0.907258065,0.176727861,0.66214908,0.343558282,0.26705653,0.2247557,-0.732644023,-0.780804113,-0.88526923
2014,25,552,3.245238095,22.71666667,18.6,22.2,22.6,29.87815126,35.5,22.9,8.15952381,76.3,6.315358002,1.445797907,3.166178036,2.975529566,3.144152279,3.161246712,3.430048855,3.597312261,3.173878459,2.214794191,4.347693956,0.91810434,-0.619802768,-0.619252684,2.156718018,1.019736872,0.229826074,-0.107856427,0.591274864,0.298642534,0.117492572,0.117492572,0.961934575,0.692307692,0.923387097,0.288973063,0.396902227,0.285276074,0.216374269,0.184039088,-1.014749918,-1.045217479,-1.095729374
2014,26,672,3.909056956,27.36339869,27.6,44,44.8,28.90793067,34.7,21.9,7.221848739,79.6,6.51174533,1.591081857,3.345099536,3.353406718,3.80666249,3.824284091,3.398123685,3.575150689,3.131136911,2.106795091,4.38949865,1.341325744,-0.469122035,-0.469296524,0.99693289,0.117141662,-0.241119148,-0.645034358,0.793125645,0.366515837,0.141525874,0.141525874,0.786489816,0.569230769,0.883064516,0.189262984,0.428848015,0.423312883,0.428849903,0.364820847,-0.346604377,0.063284707,-0.161286336
2014,27,891,6.739495798,47.17647059,40,46.8,73.8,28.27321429,33.6,22.6,6.742857143,69.1,6.793466133,2.046336543,3.87487074,3.713572067,3.867025639,4.314817885,3.37667291,3.543853682,3.161246712,2.046770759,4.249922794,2.113704805,0.173361368,0.170097388,0.238203757,-1.123926752,0.088542507,-0.919440411,0.15087316,0.490384615,0.244000802,0.244000802,0.671714202,0.4,0.911290323,0.138328187,0.327202323,0.613496933,0.456140351,0.600977199,0.573951702,0.205661135,1.059382497
2014,28,821,9.785714286,68.5,42.4,48.2,51.4,28.20178571,35.1,21.8,7.75210084,66.6,6.711740395,2.378222507,4.241326753,3.770459441,3.895893623,3.958906591,3.374229862,3.586292865,3.126760536,2.169293768,4.213607983,1.866825653,0.864824751,0.858235754,0.152819262,0.568439267,-0.28821367,-0.341262043,-0.002044098,0.450791855,0.354287947,0.354287947,0.658797791,0.630769231,0.879032258,0.245648699,0.303000968,0.650306748,0.469785575,0.418566775,0.752123847,0.276849349,0.116521053
2014,29,748,1.731092437,12.11764706,22,30.8,32.8,29.21875,35,22.3,8.037815126,62.6,6.618738984,1.004701689,2.573958427,3.135494216,3.45946629,3.520460802,3.408462593,3.583518938,3.148453361,2.201417456,4.15261347,1.609365966,-0.963499809,-0.961297,1.368481008,0.455614865,-0.052741059,-0.17758124,-0.246711711,0.409502262,0.062673523,0.062673523,0.842695201,0.615384615,0.899193548,0.276030859,0.2642788,0.337423313,0.300194932,0.267100977,-0.762339381,-0.607918451,-0.666390681
2014,30,635,3.466386555,24.26470588,32.2,37.6,38,29.47410714,35.5,21.6,9.269747899,100.1,6.455198563,1.496579705,3.229408397,3.502549876,3.653252276,3.663561646,3.416877377,3.597312261,3.117949906,2.329202476,4.616110126,1.210832477,-0.569604116,-0.569295421,1.673730578,1.019736872,-0.382402715,0.528171872,2.047047162,0.345588235,0.125499166,0.125499166,0.888871373,0.692307692,0.870967742,0.407031584,0.627299129,0.493865031,0.366471735,0.309446254,-0.005107767,-0.262147127,-0.447512132
2014,31,484,8.161922269,57.13345588,40.2,73.2,86.6,28.22142857,34.7,21.1,7.967226891,70.6,6.184148891,2.215056011,4.062741331,3.718438256,4.30676415,4.472780998,3.374902295,3.575150689,3.095577609,2.193576475,4.271095074,0.678278878,0.496239002,0.491422412,0.176299998,0.117141662,-0.617875326,-0.218020027,0.242623515,0.260180995,0.295499194,0.295499194,0.662349804,0.569230769,0.850806452,0.268524678,0.341723136,0.616564417,0.713450292,0.705211726,0.588799381,1.548067452,1.598160464
2014,32,545,4.017647059,28.12352941,26,32.2,34.2,27.89065476,33.7,22.5,8.399159664,61.9,6.302618976,1.61296111,3.371546418,3.295836866,3.502549876,3.561046083,3.363518178,3.546739687,3.157000421,2.240620288,4.141546164,0.893416425,-0.444473088,-0.444766105,-0.219101367,-1.011102351,0.041447985,0.029426835,-0.289528544,0.294683258,0.145457336,0.145457336,0.602536054,0.415384615,0.907258065,0.314455355,0.25750242,0.398773006,0.313840156,0.278501629,-0.465385807,-0.536730237,-0.607461841
2014,33,442,8.058981092,56.41286765,38.4,59.6,83.6,27.2847619,33.5,22,7.184401261,99.4,6.09356977,2.203756652,4.050268453,3.673765816,4.104294893,4.437934267,3.342323211,3.540959324,3.135494216,2.102230057,4.609162207,0.530151386,0.472872309,0.468168081,-0.943375345,-1.236751154,-0.194024626,-0.666487375,2.00423033,0.236425339,0.291772249,0.291772249,0.492972593,0.384615385,0.887096774,0.185280911,0.620522749,0.588957055,0.580896686,0.680781759,0.455170273,0.856524804,1.471884378
2014,34,419,4.331130952,30.31791667,27,38.8,40.2,28.04639456,33.1,23.2,7.553154762,66.2,6.040254711,1.673563402,3.444190351,3.33220451,3.683866912,3.718438256,3.368894364,3.529297384,3.186352633,2.146300193,4.207673248,0.449033951,-0.373315147,-0.37395034,-0.032932673,-1.688048759,0.371109641,-0.455234832,-0.026510859,0.22341629,0.156806897,0.156806897,0.630698445,0.323076923,0.935483871,0.224493258,0.299128751,0.414110429,0.378167641,0.327361564,-0.391147413,-0.201128658,-0.354909668
2014,35,371,10.70761905,74.95333333,41.4,45,50.2,27.06251701,32.8,21.5,6.37547619,81.4,5.918893854,2.460239831,4.330119117,3.747148362,3.828641396,3.935739532,3.334434772,3.520460802,3.113515309,1.998160468,4.411585437,0.279745389,1.074088594,1.066493316,-1.209043102,-2.026521963,-0.429497237,-1.129906645,0.903226071,0.196266968,0.387665148,0.387665148,0.4527841,0.276923077,0.866935484,0.099261793,0.446272991,0.634969325,0.438596491,0.408794788,0.677885453,0.114133431,0.066010619
